audio_path,sentence,lang,source,augmentation
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000004_orig.wav,괜찮네.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_43543824.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000004_speed095.wav,괜찮네.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_43543824.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000004_speed105.wav,괜찮네.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_43543824.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000004_noise.wav,괜찮네.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_43543824.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000005_orig.wav,선비는 생각지 않은 이 말에 앞이 아뜩해지며 방 안이 핑핑 돌았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36838360.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000005_speed095.wav,선비는 생각지 않은 이 말에 앞이 아뜩해지며 방 안이 핑핑 돌았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36838360.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000005_speed105.wav,선비는 생각지 않은 이 말에 앞이 아뜩해지며 방 안이 핑핑 돌았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36838360.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000005_noise.wav,선비는 생각지 않은 이 말에 앞이 아뜩해지며 방 안이 핑핑 돌았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36838360.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000006_orig.wav,허무맹랑한 얘기 좀 그만 해.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813905.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000006_speed095.wav,허무맹랑한 얘기 좀 그만 해.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813905.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000006_speed105.wav,허무맹랑한 얘기 좀 그만 해.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813905.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000006_noise.wav,허무맹랑한 얘기 좀 그만 해.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813905.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000007_orig.wav,여러분 모두 힘내세요!,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41799500.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000007_speed095.wav,여러분 모두 힘내세요!,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41799500.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000007_speed105.wav,여러분 모두 힘내세요!,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41799500.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000007_noise.wav,여러분 모두 힘내세요!,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41799500.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000008_orig.wav,나는 지금 열심히 공부 하고 있다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39006725.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000008_speed095.wav,나는 지금 열심히 공부 하고 있다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39006725.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000008_speed105.wav,나는 지금 열심히 공부 하고 있다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39006725.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000008_noise.wav,나는 지금 열심히 공부 하고 있다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39006725.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000009_orig.wav,그러나 옥점이와 결혼까지 하고 싶은 생각은 꿈에도 없었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39832629.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000009_speed095.wav,그러나 옥점이와 결혼까지 하고 싶은 생각은 꿈에도 없었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39832629.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000009_speed105.wav,그러나 옥점이와 결혼까지 하고 싶은 생각은 꿈에도 없었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39832629.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000009_noise.wav,그러나 옥점이와 결혼까지 하고 싶은 생각은 꿈에도 없었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39832629.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000010_orig.wav,어서 가.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41665060.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000010_speed095.wav,어서 가.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41665060.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000010_speed105.wav,어서 가.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41665060.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000010_noise.wav,어서 가.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41665060.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000011_orig.wav,그것은 물론 시급히 닥쳐오는 문제는 아니었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40425525.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000011_speed095.wav,그것은 물론 시급히 닥쳐오는 문제는 아니었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40425525.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000011_speed105.wav,그것은 물론 시급히 닥쳐오는 문제는 아니었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40425525.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000011_noise.wav,그것은 물론 시급히 닥쳐오는 문제는 아니었다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40425525.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000012_orig.wav,그런 모임을 조직할 필요를 역설하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_42727232.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000012_speed095.wav,그런 모임을 조직할 필요를 역설하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_42727232.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000012_speed105.wav,그런 모임을 조직할 필요를 역설하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_42727232.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000012_noise.wav,그런 모임을 조직할 필요를 역설하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_42727232.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000013_orig.wav,결국 나는 또 한번 거기를 가보기로 작정하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161648.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000013_speed095.wav,결국 나는 또 한번 거기를 가보기로 작정하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161648.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000013_speed105.wav,결국 나는 또 한번 거기를 가보기로 작정하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161648.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000013_noise.wav,결국 나는 또 한번 거기를 가보기로 작정하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161648.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000014_orig.wav,오 분 내로 끊어,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_38697629.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000014_speed095.wav,오 분 내로 끊어,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_38697629.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000014_speed105.wav,오 분 내로 끊어,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_38697629.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000014_noise.wav,오 분 내로 끊어,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_38697629.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000015_orig.wav,늙어서도 후회할 일이 적어질 것이다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37977382.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000015_speed095.wav,늙어서도 후회할 일이 적어질 것이다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37977382.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000015_speed105.wav,늙어서도 후회할 일이 적어질 것이다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37977382.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000015_noise.wav,늙어서도 후회할 일이 적어질 것이다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37977382.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000016_orig.wav,벌써 한 달이 넘어가는 러시아의 우크라이나 침공은 대체 언제쯤 멈출까?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40206469.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000016_speed095.wav,벌써 한 달이 넘어가는 러시아의 우크라이나 침공은 대체 언제쯤 멈출까?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40206469.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000016_speed105.wav,벌써 한 달이 넘어가는 러시아의 우크라이나 침공은 대체 언제쯤 멈출까?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40206469.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000016_noise.wav,벌써 한 달이 넘어가는 러시아의 우크라이나 침공은 대체 언제쯤 멈출까?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40206469.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000017_orig.wav,절대 어제를 후회하지 마라.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36326823.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000017_speed095.wav,절대 어제를 후회하지 마라.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36326823.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000017_speed105.wav,절대 어제를 후회하지 마라.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36326823.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000017_noise.wav,절대 어제를 후회하지 마라.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36326823.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000018_orig.wav,못 들었어?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41684684.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000018_speed095.wav,못 들었어?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41684684.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000018_speed105.wav,못 들었어?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41684684.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000018_noise.wav,못 들었어?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41684684.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000019_orig.wav,그 중 항아리에 해 넣은 것 있지 않느냐.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44426215.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000019_speed095.wav,그 중 항아리에 해 넣은 것 있지 않느냐.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44426215.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000019_speed105.wav,그 중 항아리에 해 넣은 것 있지 않느냐.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44426215.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000019_noise.wav,그 중 항아리에 해 넣은 것 있지 않느냐.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44426215.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000020_orig.wav,이게 뭐야?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41813106.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000020_speed095.wav,이게 뭐야?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41813106.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000020_speed105.wav,이게 뭐야?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41813106.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000020_noise.wav,이게 뭐야?,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41813106.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000021_orig.wav,영신은 활발히 손을 내밀고 서양 여자처럼 차례차례 악수를 한다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44611470.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000021_speed095.wav,영신은 활발히 손을 내밀고 서양 여자처럼 차례차례 악수를 한다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44611470.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000021_speed105.wav,영신은 활발히 손을 내밀고 서양 여자처럼 차례차례 악수를 한다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44611470.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000021_noise.wav,영신은 활발히 손을 내밀고 서양 여자처럼 차례차례 악수를 한다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44611470.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000022_orig.wav,그 후에 아버지는 김주경이 서울 각 아문에 드렸던 소송 문서 전부를 가진다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40946312.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000022_speed095.wav,그 후에 아버지는 김주경이 서울 각 아문에 드렸던 소송 문서 전부를 가진다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40946312.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000022_speed105.wav,그 후에 아버지는 김주경이 서울 각 아문에 드렸던 소송 문서 전부를 가진다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40946312.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000022_noise.wav,그 후에 아버지는 김주경이 서울 각 아문에 드렸던 소송 문서 전부를 가진다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40946312.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000023_orig.wav,그것은 절대로 물리학이나 윤리학의 문제가 아니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39627485.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000023_speed095.wav,그것은 절대로 물리학이나 윤리학의 문제가 아니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39627485.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000023_speed105.wav,그것은 절대로 물리학이나 윤리학의 문제가 아니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39627485.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000023_noise.wav,그것은 절대로 물리학이나 윤리학의 문제가 아니다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39627485.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000024_orig.wav,보통학교 하나는 명색 졸업이라구 해서 아주 맹문이는 아니지요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370294.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000024_speed095.wav,보통학교 하나는 명색 졸업이라구 해서 아주 맹문이는 아니지요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370294.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000024_speed105.wav,보통학교 하나는 명색 졸업이라구 해서 아주 맹문이는 아니지요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370294.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000024_noise.wav,보통학교 하나는 명색 졸업이라구 해서 아주 맹문이는 아니지요.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370294.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000025_orig.wav,그것은 마치 야반의 종소리와도 같이 사람의 마음을 무겁고 음침하게 하는 음향인 동시에,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370298.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000025_speed095.wav,그것은 마치 야반의 종소리와도 같이 사람의 마음을 무겁고 음침하게 하는 음향인 동시에,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370298.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000025_speed105.wav,그것은 마치 야반의 종소리와도 같이 사람의 마음을 무겁고 음침하게 하는 음향인 동시에,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370298.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000025_noise.wav,그것은 마치 야반의 종소리와도 같이 사람의 마음을 무겁고 음침하게 하는 음향인 동시에,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370298.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000026_orig.wav,"마스크 잘 쓰고 다니고, 길 조심해서 다녀와.",ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506457.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000026_speed095.wav,"마스크 잘 쓰고 다니고, 길 조심해서 다녀와.",ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506457.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000026_speed105.wav,"마스크 잘 쓰고 다니고, 길 조심해서 다녀와.",ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506457.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000026_noise.wav,"마스크 잘 쓰고 다니고, 길 조심해서 다녀와.",ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506457.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000027_orig.wav,신철의 음성은 탁 갈리어 잘 나오지 않았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506460.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000027_speed095.wav,신철의 음성은 탁 갈리어 잘 나오지 않았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506460.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000027_speed105.wav,신철의 음성은 탁 갈리어 잘 나오지 않았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506460.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000027_noise.wav,신철의 음성은 탁 갈리어 잘 나오지 않았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36506460.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000028_orig.wav,오십 레벨 찍기 전까지는 그 게임이 참 어려운 게임이긴 하지.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161214.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000028_speed095.wav,오십 레벨 찍기 전까지는 그 게임이 참 어려운 게임이긴 하지.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161214.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000028_speed105.wav,오십 레벨 찍기 전까지는 그 게임이 참 어려운 게임이긴 하지.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161214.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000028_noise.wav,오십 레벨 찍기 전까지는 그 게임이 참 어려운 게임이긴 하지.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161214.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000029_orig.wav,풀매질을 친다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161216.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000029_speed095.wav,풀매질을 친다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161216.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000029_speed105.wav,풀매질을 친다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161216.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000029_noise.wav,풀매질을 친다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39161216.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000030_orig.wav,참 한 가지 잊어버린 것이 있다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41797778.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000030_speed095.wav,참 한 가지 잊어버린 것이 있다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41797778.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000030_speed105.wav,참 한 가지 잊어버린 것이 있다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41797778.mp3,speed105
